ID or #		Start	End
gene188		214291	214836
gene189		214833	215255
gene190		215269	215979
gene191		216179	217003
gene192		217057	218775
gene193		218887	219594
gene194		219591	219995
gene195		220113	220928
gene196		220968	221621
gene197		221614	222645
gene198		222833	223408
gene199		223771	225312
gene200		225381	225457
gene201		225500	225575
gene202		225759	228662
gene203		228756	228875
gene204		228928	229004
gene205		229167	229970
gene206		229967	230881
gene207		231122	231922
gene208		231926	232549
gene209		232597	233955
gene210		234027	234782
gene211		234816	235538
gene212		235535	236002
gene213		236067	236798
gene214		236931	237007
gene215		237335	238120
gene216		238257	238736
gene217		238746	239102
gene218		239106	239378
gene219		239419	240189
gene220		240343	240816
gene221		240859	243303
gene222		243543	244121
gene223		244327	245094
gene224		245065	245805
gene225		245961	246239
gene226		246242	246502
gene227		246712	247461
gene228		247637	248134
gene229		248358	250070
gene230		250072	250827
gene231		250898	251953
gene232		252005	252298
gene233		252301	252699
gene234		252709	253161
gene235		253479	253685
gene236		253702	254202
gene237		254259	255716
gene238		255977	256435
gene239		256527	257771
gene240		257829	257899
gene240		258676	259006
gene241		259045	260100
gene242		260388	261491
gene243		261503	262756
gene244		262871	262946
gene245		263150	263212
gene246		263328	263669
gene247		263690	264007
gene248		264026	264247
gene249		264256	264732
gene250		264748	265206
gene251		265304	265543
gene252		265620	266087
gene253		266110	266553
gene254		266553	266774
gene255		266776	266967
gene256		267184	268005
gene257		268097	268960
gene258		269289	270182
gene259		270278	270535
gene259		271764	272189
gene260		270603	271754
gene261		272580	272654
gene262		272847	273954
gene263		274101	275117
gene264		275325	276728
gene265		276715	277647
gene266		277756	278802
gene267		278814	279161
gene268		279178	279681
gene269		279600	279875
gene270		279931	280104
gene271		280114	280362
gene272		280427	280735
gene273		280829	281983
gene274		282278	283186
gene275		283201	285168
gene276		285395	286777
gene277		286789	288399
gene278		288404	289162
gene279		289301	290305
gene280		290429	290633
gene281		290649	291152
gene282		291071	291346
gene283		291404	292231
gene284		292322	292948
gene285		293220	293918
gene286		293945	294799
gene287		295139	295579
gene288		295696	297096
gene289		297206	297254
gene290		297381	297719
gene291		297714	297791
gene292		297770	298726
gene293		298736	300934
gene294		300931	301887
gene295		301884	302573
gene296		302991	303605
gene297		303853	304182
gene298		304495	305205
gene299		305174	306817
gene300		306807	309332
gene301		309358	310026
gene302		310084	310671
gene303		310746	311336
gene304		312112	312339
gene305		312374	312514
gene306		312514	312777
gene307		313141	313242
gene308		313716	313805
gene309		314357	315228
gene310		315291	315590
gene311		315587	316453
gene312		316486	317169
gene313		317439	317567
gene314		317726	318319
gene315		318331	318567
gene316		318676	320001
gene317		320227	321081
gene318		321608	322327
gene319		322338	323765
gene320		323758	324453
gene321		324696	325364
gene322		325577	327247
gene323		327261	328733
gene324		328747	329334
gene325		329463	331496
gene326		332371	333459
gene327		333501	334433
gene328		334525	335022
gene329		335280	335885
gene330		335925	336788
gene331		336778	338325
gene332		338325	339743
gene333		340165	341115
gene334		341125	342507
gene335		342884	343933
gene336		344176	344991
gene337		345404	345649
gene338		345666	346337
gene339		346484	346759
gene340		346857	348443
gene341		348682	349572
gene342		350012	351181
gene343		351215	352666
gene344		352706	354592
gene345		354922	356181
gene346		356171	357454
gene348		358799	359458
gene349		359489	359959
gene350		359992	361146
gene351		361249	361860
gene352		361926	363179
gene353		363231	366305
gene354		366428	367510
gene355		367587	368420
gene356		368611	370275
gene357		370277	371221
gene358		371239	372105
gene359		372115	372924
gene360		372921	373871
gene361		373868	374881
gene362		375459	376670
gene363		376772	377311
gene364		377535	378368
gene365		378462	379571
gene366		379606	379881
gene367		380069	380842
gene368		382591	382872
gene368		380844	381259
gene369		381351	381716
gene370		381674	382579
gene371		382739	383935
gene372		384059	384616
gene373		385232	386194
gene374		386207	386974
gene375		386971	387798
gene376		387795	388646
gene377		388753	389727
gene378		390251	391708
gene378		392970	394418
gene379		391739	392605
gene380		392602	392901
gene381		394506	395129
gene382		395130	396287
gene383		396639	397859
gene384		397872	398966
gene385		399025	399333
gene386		399593	399805
gene387		399829	400923
gene388		401386	401646
gene389		401747	403162
gene390		403281	403601
gene391		403703	404818
gene392		404835	405644
gene393		405764	406222
gene394		406405	406929
gene395		406979	407170
gene396		407428	408105
gene397		408177	408461
gene398		408609	408950
gene399		409108	410019
gene400		410144	411052
gene401		411297	412481
gene402		412607	415753
gene403		415750	416952
gene404		417142	417831
gene405		417889	419184
gene406		419591	420910
gene407		420986	422359
gene408		422518	424332
gene409		424337	424918
gene410		425011	426081
gene411		426137	427264
gene412		427287	427619
gene413		427647	429494
gene414		429505	430476
gene415		430605	430952
gene416		431129	432013
gene417		432312	432851
gene418		433002	433451
gene419		433455	434558
gene420		434647	435117
gene421		435137	435556
gene422		435634	436611
gene423		436589	437107
gene424		437161	438135
gene425		438315	440177
gene426		440202	441101
gene427		441101	441343
gene428		441549	442997
gene429		443051	443641
gene430		443604	444515
gene431		444683	445174
gene432		445302	446666
gene433		446815	447705
gene434		447717	448046
gene435		448046	448660
gene436		448650	450641
gene437		450663	451610
gene438		452070	453545
gene439		453589	454167
gene440		454472	454789
gene441		455133	456431
gene442		456677	457300
gene443		457426	458700
gene444		458888	461242
gene445		461451	461723
gene446		461915	463786
gene447		463937	464308
gene448		464402	464800
gene449		464852	465547
gene450		465612	467312
gene451		467412	468230
gene452		468383	468841
gene453		468871	470643
gene454		470636	472417
gene455		472598	472936
gene456		472966	474252
gene457		474301	475161
gene458		475379	475951
gene459		475982	476371
gene460		476448	476561
gene461		476672	477025
gene462		477067	478617
gene463		478781	479251
gene464		479367	479918
gene465		480090	480308
gene466		480334	480708
gene467		481254	484403
gene468		484426	485619
gene469		485761	486408
gene470		486536	489898
gene471		490110	490271
gene472		490285	490812
gene473		490882	491259
gene474		491412	491963
gene475		492092	494023
gene476		494076	494405
gene477		494405	495010
gene478		495120	496994
gene479		497175	497819
gene480		498055	499017
gene481		499014	499973
gene482		500125	501429
gene483		501562	503238
gene484		503476	504696
gene485		504914	506566
gene486		506603	507082
gene487		507204	507287
gene488		507286	508080
gene489		508218	508559
gene490		508875	511379
gene491		511641	512573
gene492		512576	513868
gene493		513993	514400
gene494		514401	514859
gene495		514856	515773
gene496		515919	516596
gene497		516583	517362
gene498		517425	518279
gene499		518340	519149
gene500		519139	519765
gene501		519733	520419
gene502		520416	522830
gene503		523261	527541
gene504		527581	527949
gene505		527952	528659
gene506		528640	529130
gene507		529500	529592
gene508		529595	530016
gene509		530132	531226
gene510		531295	532221
gene511		532451	532933
gene512		533011	533826
gene513		533916	535697
gene514		535710	536486
gene515		536586	537464
gene516		537633	539087
gene517		539147	540508
gene518		540565	541866
gene519		541888	543033
gene520		543261	544046
gene521		544057	545292
gene522		545314	546363
gene523		546680	548347
gene524		548357	549616
gene525		549627	550442
gene526		550439	551332
gene527		551527	552594
gene528		552591	553100
gene529		553218	553940
gene530		553943	554437
gene531		554611	555996
gene532		556032	556553
gene533		556661	556873
gene534		556875	557741
gene535		558212	558754
gene536		558974	559666
gene537		559697	562300
gene538		562336	563319
gene539		563330	563845
gene540		563848	564480
gene541		564723	564799
gene542		564815	565978
gene543		565858	566079
gene544		566098	566376
gene545		566376	566687
gene546		566684	566776
gene546		568035	568247
gene547		566842	567141
gene548		567138	568004
gene549		568315	568647
gene550		568902	570428
gene551		570893	571444
gene552		571454	572251
gene553		572368	572469
gene554		572466	572921
gene555		572921	573091
gene556		573084	573374
gene557		573371	573733
gene558		573730	573870
gene559		573956	574339
gene560		575786	576825
gene560		574529	574586
gene561		574737	575753
gene562		577398	577613
gene563		577613	578110
gene564		578107	578568
gene565		578327	578509
gene566		578600	578893
gene567		579184	579594
gene568		579880	580086
gene569		580251	580445
gene570		580834	581379
gene571		581354	581662
gene572		581660	582097
gene573		582152	582806
gene574		582953	583135
gene575		583681	584430
gene576		584680	585633
gene577		586057	586101
gene578		586147	586908
gene579		587091	587981
gene580		587982	590954
gene581		590941	593178
gene582		593328	594770
gene583		594760	595443
gene584		595600	596973
gene585		597131	597463
gene586		597479	598702
gene587		598714	601857
gene588		601959	603335
gene589		603416	604663
gene590		604771	605424
gene591		605518	605886
gene592		605951	606199
gene593		606265	607383
gene594		607734	607792
gene595		607836	607988
gene596		608065	609177
gene597		609459	610079
gene598		610254	612494
gene599		612737	613939
gene600		613942	614160
gene601		614157	618038
gene602		618254	619387
gene603		619384	620199
gene604		620196	621188
gene605		621185	622189
gene606		622300	623550
gene607		623554	624510
gene608		624885	626060
gene609		626070	627680
gene610		627694	628551
gene611		628551	629297
gene612		629300	629713
gene613		629894	631999
gene614		632182	632379
gene615		632389	633477
gene616		633586	634746
gene617		634747	635376
gene618		635349	636569
gene619		636716	637618
gene620		637827	638573
gene621		638945	639508
gene622		639753	641318
gene623		641439	641867
gene624		642088	643326
gene625		643557	643967
gene626		644197	645003
gene627		645117	646580
gene628		646631	647509
gene629		647484	648035
gene630		648039	649571
gene631		649582	650490
gene632		650487	650783
gene633		650798	651856
gene634		652235	653893
gene635		653862	654542
gene636		654583	655968
gene637		656557	657117
gene638		657292	657501
gene639		657555	657938
gene640		658031	658818
gene641		658947	659150
gene642		659251	660216
gene643		660425	661378
gene644		661637	662278
gene645		662379	662642
gene646		662752	663963
gene647		664102	665190
gene648		665201	666313
gene649		666316	668217
gene650		668248	668715
gene651		668719	669036
gene652		669296	669907
gene653		669931	670572
gene654		670574	671605
gene655		671605	672186
gene656		672201	674783
gene657		675018	675500
gene658		675570	676547
gene659		676711	677418
gene660		677415	678842
gene661		678852	679406
gene662		679508	680215
gene663		680212	681663
gene664		681723	683393
gene665		683477	684412
gene666		684530	685255
gene667		685255	685929
gene668		685929	686669
gene669		686839	687747
gene670		687997	689013
gene671		689343	690881
gene672		690906	691784
gene673		691874	692341
gene674		692338	693378
gene675		693531	694955
gene676		695101	696276
gene677		696430	696504
gene678		696542	696616
gene679		696664	696740
gene680		696756	696830
gene681		696865	696939
gene682		696963	697047
gene683		697057	697133
gene684		697513	699177
gene685		699574	700326
gene686		700374	701594
gene687		701603	702751
gene688		702811	703611
gene689		703944	705890
gene690		706093	707757
gene691		708334	709740
gene692		709790	710116
gene693		710200	710646
gene694		710639	710725
gene695		710935	711465
gene696		711605	711898
gene697		712038	712802
gene698		712987	713532
gene699		713558	715198
gene700		715412	715906
gene701		715947	716597
gene702		716721	716870
gene703		716946	718265
gene704		718262	720460
gene705		720583	720840
gene706		721056	721733
gene707		721730	724414
gene708		724407	724979
gene709		724988	727036
gene710		727059	728732
gene711		728732	728821
gene712		729134	729340
gene713		729583	733776
gene714		733776	734102
gene715		734133	735653
gene716		735650	736219
gene718		736825	737961
gene719		738092	738853
gene720		739001	739510
gene721		739507	740925
gene722		741075	742556
gene723		742827	743570
gene724		743593	744249
gene725		744243	745175
gene726		745165	745899
gene727		745935	746726
gene728		746723	747769
gene729		747921	748982
gene730		748979	749707
gene731		749722	752169
gene732		752229	752795
gene733		753185	754468
gene734		755177	755566
gene735		755560	755907
gene736		755907	757673
gene737		757689	758405
gene738		758706	761507
gene739		761522	762739
gene740		763014	764180
gene741		764180	765049
gene742		765153	765875
gene743		765984	767960
gene744		767978	770611
gene745		771458	773026
gene746		773042	774181
gene747		774196	774309
gene748		774309	774602
gene749		774752	775156
gene750		775153	775845
gene751		775849	776277
gene752		776342	777607
gene753		777740	779032
gene754		779067	779588
gene755		779598	780389
gene756		780554	780629
gene757		780765	780840
gene758		780843	780918
gene759		781068	781143
gene760		781147	781222
gene761		781369	781444
gene762		781577	781652
gene763		782085	783128
gene764		783166	783885
gene765		783882	784823
gene766		784937	785317
gene767		785633	786685
gene768		786843	787595
gene769		787797	788837
gene770		788831	789979
gene771		789983	791029
gene772		791039	792055
gene773		792316	793788
gene774		793856	794644
gene775		794773	794922
gene776		795089	795862
gene777		795862	796551
gene778		796554	797612
gene779		797613	798431
gene780		798586	799581
gene781		799622	800575
gene782		800759	801811
gene783		801887	803320
gene784		803503	805764
gene785		805998	807281
gene786		807433	807909
gene787		807968	809257
gene788		809344	810384
gene789		810381	811535
gene790		811522	812277
gene791		812270	812947
gene792		813526	815547
gene793		815739	816647
gene794		817044	818033
gene795		818055	818567
gene796		818570	819055
gene797		819048	819293
gene798		819295	819747
gene799		819884	820588
gene800		820793	821506
gene801		821542	822498
gene802		822498	823739
gene803		823736	824497
gene804		824630	825040
gene805		825002	826108
gene806		826119	827252
gene807		827245	828981
gene808		828974	829972
gene809		829972	830643
gene810		830872	832236
gene811		832468	832950
gene812		833070	835220
gene813		835248	836210
gene814		836351	837436
gene815		837665	837925
gene816		838190	838456
gene817		838530	839207
gene818		839249	841531
gene819		841796	842056
gene820		842332	843258
gene821		843255	845480
gene822		845741	846463
gene823		846460	847119
gene824		847258	848004
gene825		848408	848911
gene826		849210	850097
gene827		850450	850965
gene828		851014	852597
gene829		852869	852997
gene830		853183	853650
gene831		853647	854765
gene832		854824	855744
gene833		855963	857555
gene834		857796	859061
gene835		859213	860028
gene836		860174	862606
gene837		862612	863511
gene838		863642	864304
gene839		864380	865129
gene840		865129	866364
gene841		866568	867533
gene842		867520	869391
gene843		869411	870949
gene844		870967	871887
gene845		871890	872801
gene846		872979	875327
gene847		875335	876663
gene848		876710	878035
gene849		878248	878631
gene850		878742	879857
gene851		879854	880480
gene852		880727	881929
gene853		881976	882734
gene854		882792	883388
gene855		883673	884905
gene856		884946	885230
gene857		885316	886131
gene858		886131	887339
gene859		887423	887959
gene860		887976	888054
gene861		888134	889819
gene862		890089	890466
gene863		890496	890753
gene864		890913	891200
gene865		891184	891906
gene866		891967	892869
gene867		892957	893433
gene868		893784	894896
gene869		894991	896124
gene870		896134	897087
gene871		897084	897929
gene872		897989	898477
gene873		898518	899645
gene874		899844	900575
gene875		900866	901534
gene876		901534	902250
gene877		902257	902988
gene878		903006	903734
gene879		903952	904467
gene880		904593	904916
gene881		904913	905743
gene882		905740	906753
gene883		906852	908282
gene884		908293	909294
gene885		909331	911049
gene886		911182	912150
gene887		912162	913814
gene888		913958	914857
gene889		915352	916047
gene890		916473	918131
gene891		918128	919120
gene892		919235	920350
gene893		920347	922293
gene894		922366	922590
gene895		922913	923233
gene896		923264	925540
gene897		925884	925971
gene898		926225	926443
gene899		926728	927432
gene900		927474	929195
gene901		929196	930962
gene902		931085	932050
gene903		932595	933089
gene904		933224	937213
gene905		937372	937983
gene906		937994	939337
gene907		939428	940720
gene908		940959	943403
gene909		943414	944031
gene910		944033	944896
gene911		944931	945557
gene912		945871	947019
gene913		947229	948659
gene914		948660	949568
gene915		949668	950258
gene916		950340	951080
gene917		951272	953554
gene918		953609	954466
gene919		954872	956632
gene920		956762	957454
gene921		957653	958741
gene922		958812	960095
gene923		960264	961028
gene924		961201	961884
gene925		961995	963668
gene926		963828	964112
gene927		964320	966584
gene928		966621	968369
gene929		968366	969352
gene930		969389	970621
gene931		970673	970855
gene932		970852	971598
gene933		971752	972645
gene934		972622	973401
gene935		973537	974322
gene936		974319	975641
gene937		975622	976326
gene938		976326	980786
gene939		981047	982894
gene940		983075	983623
gene941		983650	984297
gene942		984519	985709
gene943		985894	986982
gene944		987585	988985
gene945		989154	990356
gene946		990622	993234
gene947		993277	994044
gene948		994041	994832
gene949		994843	995988
gene950		995985	996944
gene951		996937	997512
gene952		997868	998407
gene953		998490	999191
gene954		999216	1001816
gene955		1001807	1002877
gene956		1002889	1003431
gene957		1003439	1003954
gene958		1003947	1004657
gene959		1004768	1005778
gene960		1005952	1006494
gene961		1006491	1007600
gene962		1007844	1009952
gene963		1009964	1011871
gene964		1012001	1013254
gene965		1013259	1014899
gene966		1014896	1015459
gene967		1015715	1015882
gene968		1015952	1016470
gene969		1016539	1018299
gene970		1018485	1018937
gene971		1019013	1020053
gene972		1020410	1020919
gene973		1021138	1021767
gene974		1021730	1023883
gene975		1023902	1024348
gene976		1024471	1026525
gene977		1026557	1027015
gene978		1027111	1027773
gene979		1027946	1028359
gene980		1028404	1028721
gene981		1028779	1029969
gene982		1030064	1030342
gene983		1030339	1030668
gene984		1030759	1031418
gene985		1031625	1031712
gene986		1032139	1033257
gene987		1033254	1035047
gene988		1035066	1035773
gene989		1035770	1036357
gene990		1036354	1036752
gene991		1036749	1037606
gene992		1037740	1039284
gene993		1039296	1040432
gene994		1040445	1040537
gene995		1040617	1041915
gene996		1042030	1044210
gene997		1044230	1044676
gene998		1044664	1045803
gene999		1045849	1047945
gene1000		1047945	1048691
gene1001		1048688	1049332
gene1002		1049439	1049744
gene1003		1049833	1050108
gene1004		1050027	1050530
gene1005		1050963	1051175
gene1006		1051461	1051673
gene1007		1051847	1052077
gene1008		1052067	1052240
gene1009		1052289	1053362
gene1010		1053434	1056178
gene1011		1056261	1057289
gene1012		1057262	1057954
gene1013		1058084	1059256
gene1014		1059256	1061802
gene1015		1061799	1062398
gene1016		1062550	1062855
gene1017		1062855	1063775
gene1018		1064036	1065292
gene1019		1065585	1066826
gene1020		1066864	1067091
gene1021		1067112	1067708
gene1022		1068081	1068254
gene1023		1068511	1069839
gene1024		1069860	1070354
gene1025		1070365	1070955
gene1026		1070965	1071765
gene1027		1071773	1072159
gene1028		1072171	1072863
gene1029		1072863	1074011
gene1030		1074242	1074880
gene1031		1074920	1078882
gene1032		1079305	1080813
gene1033		1081356	1082185
gene1034		1082243	1083370
gene1035		1083376	1084647
gene1036		1084992	1086056
gene1037		1086106	1086519
gene1038		1086521	1087846
gene1039		1087839	1089857
gene1040		1089866	1092289
gene1041		1092876	1094234
gene1042		1094275	1095141
gene1043		1095138	1095437
gene1044		1095505	1095846
gene1045		1095843	1096829
gene1046		1097565	1097652
gene1047		1097886	1098824
gene1048		1098879	1099616
gene1049		1099640	1100194
gene1050		1100296	1100787
gene1051		1100851	1101684
gene1052		1101711	1102127
gene1053		1102152	1102541
gene1054		1102546	1103196
gene1055		1103951	1104406
gene1056		1104447	1104902
gene1057		1104961	1105293
gene1058		1105414	1105725
gene1059		1105820	1106353
gene1060		1106355	1107776
gene1061		1107784	1108941
gene1062		1109335	1110870
gene1063		1110863	1113406
gene1064		1113579	1113806
gene1065		1113807	1114181
gene1066		1114264	1115490
gene1067		1115662	1116582
gene1068		1116807	1117859
gene1069		1117901	1118476
gene1070		1118480	1119046
gene1071		1119307	1119447
gene1072		1119468	1120586
gene1073		1120701	1120955
gene1074		1121242	1121487
gene1075		1121561	1122607
gene1076		1122713	1123273
gene1077		1123407	1124054
gene1078		1124118	1125326
gene1079		1125562	1126146
gene1080		1126157	1126804
gene1081		1126806	1127729
gene1082		1127839	1129374
gene1083		1129414	1129830
gene1084		1129835	1130128
gene1085		1130204	1130863
gene1086		1131018	1131434
gene1087		1131438	1131842
gene1088		1131854	1132549
gene1089		1132574	1133782
gene1090		1133802	1134557
gene1091		1134729	1135511
gene1092		1135564	1136262
gene1093		1136274	1137371
gene1094		1137371	1138312
gene1095		1138378	1140021
gene1096		1140033	1140986
gene1097		1141182	1144367
gene1098		1144502	1144822
gene1099		1144940	1145899
gene1100		1146011	1146595
gene1101		1146589	1146757
gene1102		1146794	1147315
gene1103		1147367	1147540
gene1104		1147621	1148691
gene1105		1148759	1149712
gene1106		1149728	1150657
gene1107		1150670	1151404
gene1108		1151615	1151851
gene1109		1151939	1153180
gene1110		1153300	1154109
gene1111		1154112	1155134
gene1112		1155124	1155765
gene1113		1155762	1156766
gene1114		1156777	1157574
gene1115		1157869	1159302
gene1116		1159362	1161551
gene1117		1161885	1162244
gene1118		1162247	1162624
gene1119		1162638	1163279
gene1120		1163260	1164084
gene1121		1164095	1165120
gene1122		1165143	1165685
gene1123		1166085	1167389
gene1124		1167599	1168138
gene1125		1168200	1168832
gene1126		1169073	1169330
gene1127		1169412	1170374
gene1128		1170518	1173964
gene1129		1174092	1175165
gene1130		1175427	1176626
gene1131		1176619	1177320
gene1132		1177320	1178564
gene1133		1178593	1179504
gene1134		1179631	1180359
gene1135		1180479	1181267
gene1136		1181264	1181725
gene1137		1181783	1182829
gene1138		1182826	1183620
gene1139		1183617	1184444
gene1140		1184458	1185594
gene1141		1185844	1187070
gene1142		1187119	1188240
gene1143		1188316	1189776
gene1144		1189776	1190447
gene1145		1190616	1191986
gene1146		1191990	1192631
gene1147		1192667	1193773
gene1148		1193827	1194288
gene1149		1194298	1194951
gene1150		1195123	1196373
gene1151		1196867	1197532
gene1152		1197533	1198237
gene1153		1198695	1199588
gene1154		1199679	1200806
gene1155		1200787	1201032
gene1156		1201497	1201838
gene1157		1201776	1202084
gene1158		1202259	1202933
gene1159		1203024	1203224
gene1160		1203268	1203825
gene1161		1203822	1204160
gene1162		1204170	1204403
gene1163		1204404	1205537
gene1164		1205549	1205731
gene1165		1205731	1206142
gene1166		1206143	1206922
gene1167		1206913	1207497
gene1169		1208132	1208545
gene1170		1208517	1209119
gene1171		1209119	1209619
gene1172		1209685	1210239
gene1173		1210346	1211179
gene1174		1211413	1211577
gene1175		1211680	1212003
gene1176		1212703	1213107
gene1177		1213328	1214059
gene1178		1214264	1215475
gene1179		1215789	1216025
gene1180		1216068	1216340
gene1181		1216369	1216635
gene1182		1216748	1216996
gene1183		1217328	1218851
gene1184		1218983	1219201
gene1185		1219601	1222248
gene1186		1222305	1222634
gene1187		1222644	1222988
gene1188		1222990	1223163
gene1189		1223264	1223449
gene1190		1223564	1223907
gene1191		1224279	1224545
gene1192		1224549	1225361
gene1193		1225385	1226080
gene1194		1226600	1226968
gene1195		1227071	1227472
gene1196		1227714	1228007
gene1197		1228079	1228738
gene1198		1228815	1229276
gene1199		1229483	1230394
gene1200		1230767	1231186
gene1201		1231186	1232454
gene1202		1232500	1233030
gene1203		1233176	1234717
gene1204		1234938	1235657
gene1205		1235709	1237241
gene1206		1237571	1238869
gene1207		1238879	1239949
gene1208		1240335	1242071
gene1209		1242166	1243080
gene1210		1243180	1243791
gene1211		1243793	1244527
gene1212		1244728	1244982
gene1213		1245160	1245600
gene1214		1245679	1247376
gene1215		1247696	1249114
gene1216		1249125	1249757
gene1217		1249768	1250838
gene1218		1251066	1252985
gene1219		1253085	1255952
gene1220		1256721	1257812
gene1221		1257929	1258513
gene1222		1258791	1259069
gene1223		1259124	1260803
gene1224		1260928	1261875
gene1225		1262026	1262877
gene1226		1262877	1263500
gene1227		1263714	1264970
gene1228		1265012	1266094
gene1229		1266094	1266927
gene1230		1266924	1267316
gene1231		1267320	1268129
gene1232		1268165	1269019
gene1233		1269168	1269275
gene1234		1269323	1269389
gene1235		1269703	1269810
gene1236		1269858	1269923
gene1237		1270238	1270345
gene1238		1270393	1270460
gene1239		1270749	1271849
gene1240		1272119	1272349
gene1241		1272507	1273202
gene1242		1273246	1273599
gene1243		1273784	1275178
gene1244		1275179	1275829
gene1245		1275822	1277618
gene1246		1277957	1279348
gene1247		1279864	1283607
gene1248		1283604	1285142
gene1249		1285139	1285849
gene1250		1285849	1286526
gene1251		1287066	1287236
gene1252		1287087	1287176
gene1253		1287244	1287328
gene1254		1287538	1287622
gene1255		1287782	1288624
gene1256		1288674	1289132
gene1257		1289245	1290150
gene1258		1290242	1291255
gene1259		1291457	1292365
gene1260		1292509	1292922
gene1261		1293527	1294144
gene1262		1294426	1295322
gene1263		1295446	1298121
gene1264		1298598	1299245
gene1265		1301182	1302813
gene1266		1302899	1303819
gene1267		1303834	1304742
gene1268		1304754	1305767
gene1269		1305764	1306768
gene1270		1306821	1307150
gene1271		1307185	1308645
gene1272		1308788	1308961
gene1273		1309016	1310269
gene1274		1310569	1310865
gene1275		1311089	1311808
gene1276		1311848	1312246
gene1277		1312351	1312890
gene1278		1312920	1313663
gene1279		1314020	1314658
gene1280		1314718	1315224
gene1281		1315270	1315770
gene1282		1315856	1316035
gene1283		1316416	1317222
gene1284		1317222	1318415
gene1285		1318427	1319788
gene1286		1319789	1321384
gene1287		1321384	1322946
gene1288		1323038	1323082
gene1289		1323220	1324101
gene1290		1324098	1324718
gene1291		1324746	1326641
gene1292		1326852	1327727
gene1293		1327767	1328357
gene1294		1328354	1329112
gene1295		1329332	1330381
gene1296		1330417	1330668
